"TimeGenerated [Eastern Time (US and Canada)]",Computer,PodName,PvcName,VolumeName,VolumeMB,PvUsedMB,CapacityMB,UsagePercent
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"238.65625",4955,"4.82"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2258.16796875",4955,"45.57"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5894.93359375",15014,"39.26"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.9140625",9979,"0.15"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5390625",9979,"0.03"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"196.80859375",4955,"3.97"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"52.53515625",9979,"0.53"
"3/26/2022, 12:32:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"24.01953125",4955,"0.48"
"3/26/2022, 12:32:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:32:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.39453125",973,"0.04"
"3/26/2022, 12:32:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:32:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:32:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1924.24609375",9979,"19.28"
"3/26/2022, 12:32:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.125",973,"0.32"
"3/26/2022, 12:32:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:32:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"133.58984375",973,"13.73"
"3/26/2022, 12:33:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:33:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"133.703125",973,"13.74"
"3/26/2022, 12:33:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:33:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.14453125",973,"0.32"
"3/26/2022, 12:33:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:33:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1924.24609375",9979,"19.28"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"238.7265625",4955,"4.82"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2259.2265625",4955,"45.59"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5390625",9979,"0.03"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5896.4375",15014,"39.27"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"14.91796875",9979,"0.15"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"24.0234375",4955,"0.48"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"197.6640625",4955,"3.99"
"3/26/2022, 12:34:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"52.54296875",9979,"0.53"
"3/26/2022, 12:35:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.40625",973,"0.04"
"3/26/2022, 12:35:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:37:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:37:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.41015625",973,"0.04"
"3/26/2022, 12:37:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:37:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:37:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"133.828125",973,"13.75"
"3/26/2022, 12:37:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.21875",973,"0.33"
"3/26/2022, 12:37:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:37:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1925.06640625",9979,"19.29"
"3/26/2022, 12:38:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:38:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1925.06640625",9979,"19.29"
"3/26/2022, 12:38:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.23828125",973,"0.33"
"3/26/2022, 12:38:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"133.94140625",973,"13.77"
"3/26/2022, 12:38:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:38:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:40:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.4140625",973,"0.04"
"3/26/2022, 12:40:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:40:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:40:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1925.375",9979,"19.29"
"3/26/2022, 12:40:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:40:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"134.0546875",973,"13.78"
"3/26/2022, 12:40:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.3046875",973,"0.34"
"3/26/2022, 12:40:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5390625",9979,"0.03"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"200.78515625",4955,"4.05"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"24.05078125",4955,"0.49"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"52.57421875",9979,"0.53"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2263.48828125",4955,"45.68"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"238.9140625",4955,"4.82"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5902.83203125",15014,"39.32"
"3/26/2022, 12:41:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"15.1171875",9979,"0.15"
"3/26/2022, 12:41:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.41796875",973,"0.04"
"3/26/2022, 12:41:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:41:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"134.0546875",973,"13.78"
"3/26/2022, 12:41:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:41:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1925.66796875",9979,"19.3"
"3/26/2022, 12:41:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:41:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.3046875",973,"0.34"
"3/26/2022, 12:41:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"201.3203125",4955,"4.06"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"24.0546875",4955,"0.49"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.5390625",9979,"0.03"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"15.1171875",9979,"0.15"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2264.33203125",4955,"45.7"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"238.9453125",4955,"4.82"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"52.59375",9979,"0.53"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 12:42:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5903.78125",15014,"39.32"
"3/26/2022, 12:42:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:42:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.41796875",973,"0.04"
"3/26/2022, 12:42:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:42:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1925.89453125",9979,"19.3"
"3/26/2022, 12:42:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:42:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"134.21484375",973,"13.79"
"3/26/2022, 12:42:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.3515625",973,"0.34"
"3/26/2022, 12:42:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:43:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","data-ha-7eidilihgoszg727qoi10p58",,"0.06640625",973,"0.01"
"3/26/2022, 12:43:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.421875",973,"0.04"
"3/26/2022, 12:43:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","backups-7eidilihgoszg727qoi10p58","backups-7eidilihgoszg727qoi10p58",,"20.5625",1024,"2.01"
"3/26/2022, 12:43:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","data-7eidilihgoszg727qoi10p58-sql-gp-1-0","data-7eidilihgoszg727qoi10p58",,"134.21484375",973,"13.79"
"3/26/2022, 12:43:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","logs-7eidilihgoszg727qoi10p58-sql-gp-1-0","logs-7eidilihgoszg727qoi10p58",,"3.3515625",973,"0.34"
"3/26/2022, 12:43:37.000 PM","aks-agentpool-14651284-vmss00000q","sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58-sql-gp-1-0","datalogs-7eidilihgoszg727qoi10p58",,"0.0234375",973,0
"3/26/2022, 12:43:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/26/2022, 12:43:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1925.89453125",9979,"19.3"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"15.12109375",9979,"0.15"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"238.9765625",4955,"4.82"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"2264.921875",4955,"45.71"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"202.27734375",4955,"4.08"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"24.0625",4955,"0.49"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"52.6015625",9979,"0.53"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.54296875",9979,"0.03"
"3/26/2022, 12:44:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5905.1015625",15014,"39.33"
"3/26/2022, 12:44:35.000 PM","aks-agentpool-14651284-vmss00000r","sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58-sql-gp-1-ha-0","logs-ha-7eidilihgoszg727qoi10p58",,"0.42578125",973,"0.04"
