"TimeGenerated [Eastern Time (US and Canada)]",Computer,PodName,PvcName,VolumeName,VolumeMB,PvUsedMB,CapacityMB,UsagePercent
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-2-0","backups-42hvosig8ad8m9jfi8vsgtsm","backups-42hvosig8ad8m9jfi8vsgtsm",,"20.5625",1024,"2.01"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-2-0","logs-42hvosig8ad8m9jfi8vsgtsm-sql-gp-2-0","logs-42hvosig8ad8m9jfi8vsgtsm",,"16.29296875",973,"1.67"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-2-0","data-42hvosig8ad8m9jfi8vsgtsm-sql-gp-2-0","data-42hvosig8ad8m9jfi8vsgtsm",,"156.34375",973,"16.07"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-1-ha-0","logs-ha-k9u68eurho6e11iy3vbpwky8-sql-gp-1-ha-0","logs-ha-k9u68eurho6e11iy3vbpwky8",,"4.95703125",973,"0.51"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","logs-control",logs,,"1033.27734375",9979,"10.35"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","control-qz7qv","data-control",data,,"0.06640625",15014,0
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-2-0","datalogs-42hvosig8ad8m9jfi8vsgtsm-sql-gp-2-0","datalogs-42hvosig8ad8m9jfi8vsgtsm",,"0.0234375",973,0
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-1-ha-0","data-ha-k9u68eurho6e11iy3vbpwky8-sql-gp-1-ha-0","data-ha-k9u68eurho6e11iy3vbpwky8",,"0.06640625",973,"0.01"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-1-0","data-k9u68eurho6e11iy3vbpwky8-sql-gp-1-0","data-k9u68eurho6e11iy3vbpwky8",,"241.78125",973,"24.85"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-1-0","logs-k9u68eurho6e11iy3vbpwky8-sql-gp-1-0","logs-k9u68eurho6e11iy3vbpwky8",,"46.9765625",973,"4.83"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-1-0","backups-k9u68eurho6e11iy3vbpwky8","backups-k9u68eurho6e11iy3vbpwky8",,"34.1875",1024,"3.34"
"3/24/2022, 9:24:40.000 PM","aks-agentpool-14651284-vmss000002","sql-gp-1-0","datalogs-k9u68eurho6e11iy3vbpwky8-sql-gp-1-0","datalogs-k9u68eurho6e11iy3vbpwky8",,"8.0234375",973,"0.82"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"18.11328125",4955,"0.37"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"1.80859375",9979,"0.02"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"10.5078125",9979,"0.11"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"1298.48828125",4955,"26.21"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","sql-gp-2-ha-0","logs-ha-42hvosig8ad8m9jfi8vsgtsm-sql-gp-2-ha-0","logs-ha-42hvosig8ad8m9jfi8vsgtsm",,"1.8046875",973,"0.19"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"172.91796875",4955,"3.49"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"153.8203125",4955,"3.1"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"39.01953125",9979,"0.39"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"4132.8046875",15014,"27.53"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","sql-gp-2-ha-0","data-ha-42hvosig8ad8m9jfi8vsgtsm-sql-gp-2-ha-0","data-ha-42hvosig8ad8m9jfi8vsgtsm",,"0.06640625",973,"0.01"
"3/24/2022, 9:25:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
