"TimeGenerated [Eastern Time (US and Canada)]",Computer,PodName,PvcName,VolumeName,VolumeMB,PvUsedMB,CapacityMB,UsagePercent
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"44.578125",9979,"0.45"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"20.58984375",4955,"0.42"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.18359375",9979,"0.02"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5251.60546875",15014,"34.98"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"12.25",9979,"0.12"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"154.734375",4955,"3.12"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"1698.41015625",4955,"34.28"
"3/25/2022, 1:30:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"200.43359375",4955,"4.05"
"3/25/2022, 1:30:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/25/2022, 1:30:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1773.78515625",9979,"17.78"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.18359375",9979,"0.02"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"1698.41015625",4955,"34.28"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"200.43359375",4955,"4.05"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"20.58984375",4955,"0.42"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"154.734375",4955,"3.12"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5251.60546875",15014,"34.98"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"12.25",9979,"0.12"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/25/2022, 1:31:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"44.59375",9979,"0.45"
"3/25/2022, 1:31:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1773.78515625",9979,"17.78"
"3/25/2022, 1:31:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"12.25",9979,"0.12"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5252.32421875",15014,"34.98"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.18359375",9979,"0.02"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"20.59375",4955,"0.42"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"155.16796875",4955,"3.13"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"44.59375",9979,"0.45"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"1699.09375",4955,"34.29"
"3/25/2022, 1:32:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"200.4765625",4955,"4.05"
"3/25/2022, 1:32:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1773.921875",9979,"17.78"
"3/25/2022, 1:32:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","data-controldb",data,,"293.93359375",15014,"1.96"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","data-kafka-broker-0",data,,"5252.9921875",15014,"34.99"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","logs-kafka-zookeeper-0",logs,,"2.18359375",9979,"0.02"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-broker-0","logs-kafka-broker-0",logs,,"12.25390625",9979,"0.12"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","logs-metricsdb-0",logs,,"20.59375",4955,"0.42"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","metricsdb-0","data-metricsdb-0",data,,"155.16796875",4955,"3.13"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","data-logsdb-0",data,,"1699.59765625",4955,"34.3"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","logsdb-0","logs-logsdb-0",logs,,"200.5078125",4955,"4.05"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","controldb-0","logs-controldb",logs,,"44.6015625",9979,"0.45"
"3/25/2022, 1:33:09.000 PM","aks-agentpool-14651284-vmss000001","kafka-zookeeper-0","data-kafka-zookeeper-0",data,,"0.13671875",15014,0
"3/25/2022, 1:33:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","logs-control",logs,,"1774.03515625",9979,"17.78"
"3/25/2022, 1:33:37.000 PM","aks-agentpool-14651284-vmss00000q","control-ftf5q","data-control",data,,"0.06640625",15014,0
