"TimeGenerated [Eastern Time (US and Canada)]",Computer,PodName,PvcName,VolumeName,VolumeMB,PvUsedMB,CapacityMB,UsagePercent
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-4-0","datalogs-xo66pqps2jrzsghmqp7t1r5b-sql-gp-4-0","datalogs-xo66pqps2jrzsghmqp7t1r5b",,"0.0234375",973,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-4-0","data-xo66pqps2jrzsghmqp7t1r5b-sql-gp-4-0","data-xo66pqps2jrzsghmqp7t1r5b",,"134.7421875",973,"13.85"
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-48-0","backups-9rsujp9o4bgwk6weud7u1d1a","backups-9rsujp9o4bgwk6weud7u1d1a",,0,1024,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-4-0","backups-xo66pqps2jrzsghmqp7t1r5b","backups-xo66pqps2jrzsghmqp7t1r5b",,0,1024,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-44-0","backups-m78eqs5o387xz6mp6xjza3kk","backups-m78eqs5o387xz6mp6xjza3kk",,0,1024,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-14-0","logs-a6by6i1zmmar468yrx2z66o6-sql-gp-14-0","logs-a6by6i1zmmar468yrx2z66o6",,"0.0234375",973,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-14-0","datalogs-a6by6i1zmmar468yrx2z66o6-sql-gp-14-0","datalogs-a6by6i1zmmar468yrx2z66o6",,"0.0234375",973,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-14-0","backups-a6by6i1zmmar468yrx2z66o6","backups-a6by6i1zmmar468yrx2z66o6",,0,1024,0
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-15-ha-0","data-ha-f32wde0v13qt4iui3tfahymj-sql-gp-15-ha-0","data-ha-f32wde0v13qt4iui3tfahymj",,"0.05078125",973,"0.01"
"3/26/2022, 7:39:03.000 PM","aks-bigpool-38748239-vmss00000c","sql-gp-14-0","data-a6by6i1zmmar468yrx2z66o6-sql-gp-14-0","data-a6by6i1zmmar468yrx2z66o6",,"0.0234375",973,0
